id;id3;id4;id5;id6
505584951;Community;Daisy loopt voor NFK;2012-05-16T20:48:44+0000;241044792667608
505584951;Local business;IPS;2011-09-21T17:34:31+0000;155350104528030
505584951;Software;MyFonts;2011-09-21T17:33:31+0000;176253978685
505584951;Musician/band;50 Cent;2011-05-24T21:28:04+0000;5769333796
505584951;Musician/band;Coldplay;2011-05-24T21:28:04+0000;15253175252
507124387;Community;OWee de Bolk;2013-07-08T10:01:01+0000;649633631732821
507124387;Non-profit organization;Jeugdtheatergroep Tikkie;2013-05-05T20:50:40+0000;473668556046618
507124387;Entertainment website;The Alar;2013-04-26T17:01:59+0000;164393043680223
507124387;Community;42com;2013-01-23T10:48:11+0000;527225770628598
507124387;Entertainment website;Pathe;2012-05-17T20:30:32+0000;151075294540
507124387;Website;Triposo;2012-04-17T23:18:17+0000;116421401729382
507124387;City;Delft;2012-04-17T23:18:03+0000;107626555933269
507124387;Games/toys;World of Tanks;2012-04-07T10:58:25+0000;494440040376
507124387;Community;Z.E.U.S.;2011-06-22T19:19:09+0000;205401406156873
507124387;Local business;Tautology Club;2011-06-15T11:15:57+0000;491723355314
526978883;Organization;Weekend Fest;2013-07-23T16:46:14+0000;143914592461216
526978883;Entertainment website;Dingen die toch alleen maar in Belgie voorkomen.;2013-07-19T08:08:27+0000;404257649687468
526978883;Public figure;De Grootste Aandachtzoekers Van Fb;2013-07-16T23:49:43+0000;380950212016046
526978883;Aerospace/defense;Students in Aerospace.;2013-06-30T12:46:41+0000;236724509752547
526978883;Computers/technology;ShareLaTeX;2013-06-25T14:13:57+0000;301671376556660
526978883;Community/government;We Are. Kings and Queens;2013-06-21T15:41:20+0000;589871977703098
526978883;Musician/band;Nicole Scherzinger;2013-06-21T14:10:56+0000;20226877432
526978883;Aerospace/defense;EUROCOPTER;2013-06-21T14:09:44+0000;118202728200607
526978883;Public places;Berlin - the place to be;2013-06-21T14:09:22+0000;10733764354
526978883;Tv channel;BBC Three;2013-06-21T14:08:57+0000;7519460786
536441754;Musician/band;Ibrahim Maalouf;2013-07-22T20:33:47+0000;14548931241
536441754;Clothing;RoosterCat;2013-05-07T12:29:58+0000;532758056774727
536441754;Journalist;Sierd de Vos;2013-04-07T12:03:45+0000;168131429890150
536441754;University;TU Delft Aerospace Engineering;2013-04-02T20:03:44+0000;158980020855605
